step	accuracy
0	0.5597500205039978
1	0.6346250176429749
2	0.6434999704360962
3	0.6513749957084656
4	0.6712499856948853
5	0.6852499842643738
6	0.6857500076293945
7	0.703125
8	0.6957499980926514
9	0.7066249847412109
