step	loss
0	0.7083949446678162
1	0.69465571641922
2	0.6856243014335632
3	0.6821589469909668
4	0.668410062789917
5	0.6460170745849609
6	0.6548604369163513
7	0.6483935713768005
8	0.6449900269508362
9	0.6447275280952454
